"recording_id","file_name","export_file_name"
26184,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1031.wav","Soundscape_VeMo_XXXXXXXX_26184"
26185,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1032.wav","Soundscape_VeMo_XXXXXXXX_26185"
26186,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1033.wav","Soundscape_VeMo_XXXXXXXX_26186"
26187,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1034.wav","Soundscape_VeMo_XXXXXXXX_26187"
26188,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1035.wav","Soundscape_VeMo_XXXXXXXX_26188"
26189,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1036.wav","Soundscape_VeMo_XXXXXXXX_26189"
26190,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1037.wav","Soundscape_VeMo_XXXXXXXX_26190"
26191,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1038.wav","Soundscape_VeMo_XXXXXXXX_26191"
26192,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1039.wav","Soundscape_VeMo_XXXXXXXX_26192"
26193,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1040.wav","Soundscape_VeMo_XXXXXXXX_26193"
26194,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1041.wav","Soundscape_VeMo_XXXXXXXX_26194"
26195,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1042.wav","Soundscape_VeMo_XXXXXXXX_26195"
26196,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1043.wav","Soundscape_VeMo_XXXXXXXX_26196"
26197,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1044.wav","Soundscape_VeMo_XXXXXXXX_26197"
26198,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1045.wav","Soundscape_VeMo_XXXXXXXX_26198"
26199,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1046.wav","Soundscape_VeMo_XXXXXXXX_26199"
26200,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1047.wav","Soundscape_VeMo_XXXXXXXX_26200"
26201,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1048.wav","Soundscape_VeMo_XXXXXXXX_26201"
26202,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1049.wav","Soundscape_VeMo_XXXXXXXX_26202"
26203,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1050.wav","Soundscape_VeMo_XXXXXXXX_26203"
26204,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1051.wav","Soundscape_VeMo_XXXXXXXX_26204"
26205,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1052.wav","Soundscape_VeMo_XXXXXXXX_26205"
26206,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1053.wav","Soundscape_VeMo_XXXXXXXX_26206"
26207,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1054.wav","Soundscape_VeMo_XXXXXXXX_26207"
26208,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1055.wav","Soundscape_VeMo_XXXXXXXX_26208"
26209,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1056.wav","Soundscape_VeMo_XXXXXXXX_26209"
26210,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1057.wav","Soundscape_VeMo_XXXXXXXX_26210"
26211,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1058.wav","Soundscape_VeMo_XXXXXXXX_26211"
26212,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1059.wav","Soundscape_VeMo_XXXXXXXX_26212"
